,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
32,0.1731110095977783,0.0033524926176309623,0.011577939987182618,0.000248500911476112,1,10,37,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 37}",0.325,0.325,0.4,0.325,0.375,0.35,0.0316227766016838,10399
33,0.1732384204864502,0.0057573478755219175,0.011514520645141602,0.0004554160487890377,1,10,38,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 38}",0.3375,0.3375,0.4,0.3125,0.3875,0.35500000000000004,0.033166247903554005,10378
34,0.1793968677520752,0.005827815999029193,0.011989307403564454,0.000515383269905715,1,10,39,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 39}",0.3375,0.325,0.4,0.3125,0.3875,0.3525,0.0348209706929603,10390
35,0.19132518768310547,0.006463720068324988,0.013693761825561524,0.002185072900690959,1,10,40,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 40}",0.3375,0.3375,0.3875,0.325,0.3875,0.355,0.026925824035672515,10381
36,0.18733582496643067,0.007694689365637079,0.012091445922851562,0.0006155338373377676,1,10,41,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 41}",0.35,0.35,0.3875,0.325,0.3875,0.36,0.02423839928708165,10371
37,0.1897310733795166,0.005401237593652082,0.012250328063964843,0.00038570336424894957,1,10,42,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 42}",0.35,0.3375,0.3875,0.325,0.3875,0.3575,0.0257390753524675,10375
38,0.20822691917419434,0.00865870844447245,0.012568807601928711,0.00032292849451838365,1,10,43,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 43}",0.35,0.35,0.3875,0.325,0.4,0.3625,0.027386127875258317,10370
39,0.20206089019775392,0.005810786376099248,0.014872598648071288,0.003612227817172885,1,10,44,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 44}",0.35,0.3375,0.3875,0.325,0.4,0.36,0.02893959225697557,10371
40,0.21107163429260253,0.005038824124460506,0.013655471801757812,0.0004953442924999842,1,10,45,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 45}",0.3375,0.35,0.3875,0.325,0.3875,0.3575,0.0257390753524675,10375
41,0.21443791389465333,0.0023426179271342743,0.012828922271728516,0.00021240869506090245,1,10,46,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 46}",0.3375,0.35,0.3875,0.3125,0.3875,0.355,0.029154759474226504,10381
42,0.21109561920166015,0.003899670819164834,0.013945960998535156,0.0008291168708358265,1,10,47,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 47}",0.3375,0.35,0.3875,0.325,0.3875,0.3575,0.0257390753524675,10375
43,0.22038054466247559,0.004470288393254231,0.015082645416259765,0.0007591443951860235,1,10,48,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 48}",0.35,0.325,0.4,0.3125,0.3875,0.35500000000000004,0.03409545424246464,10378
44,0.2246114730834961,0.005003615279612114,0.013986635208129882,0.00042688265418086286,1,10,49,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 49}",0.3125,0.325,0.3875,0.325,0.3875,0.3475,0.032977264895682305,10424
45,0.22753829956054689,0.005825276148818179,0.014545822143554687,0.00040475885063961893,1,10,50,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 50}",0.3125,0.3375,0.4125,0.325,0.375,0.3525,0.036571847095819475,10390
46,0.23458242416381836,0.004525070980381349,0.014207220077514649,0.00030960084535383445,1,10,51,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 51}",0.3125,0.35,0.4125,0.325,0.3625,0.3525,0.034820970692960286,10390
47,0.24368886947631835,0.0026032036769576203,0.014746856689453126,0.0005908841966972212,1,10,52,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 52}",0.3125,0.325,0.4,0.325,0.35,0.34249999999999997,0.031224989991991994,10468
48,0.2377087116241455,0.006865376766293301,0.015578842163085938,0.001411227073568978,1,10,53,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 53}",0.3125,0.35,0.3875,0.325,0.3625,0.34750000000000003,0.02669269563007828,10411
49,0.2465208053588867,0.006810182013974181,0.015345096588134766,0.0011673448609836221,1,10,54,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 54}",0.3125,0.35,0.3875,0.325,0.35,0.34500000000000003,0.0257390753524675,10434
50,0.25762939453125,0.0021138082312955847,0.015781497955322264,0.0004716593864831395,1,10,55,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 55}",0.3,0.3375,0.3875,0.325,0.3625,0.34249999999999997,0.030207614933986434,10468
51,0.25510993003845217,0.007823791632905887,0.016978883743286134,0.0025101747969560268,1,10,56,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 56}",0.3,0.3375,0.3875,0.325,0.3625,0.34249999999999997,0.030207614933986434,10468
52,0.2698922634124756,0.006301979076500196,0.01835150718688965,0.004279918639586388,1,10,57,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 57}",0.2875,0.3375,0.3875,0.325,0.375,0.34249999999999997,0.03588175023601832,10468
53,0.2653044700622559,0.0069135557366216335,0.016552019119262695,0.0004024553750640681,1,10,58,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 58}",0.2875,0.3375,0.3875,0.325,0.3625,0.33999999999999997,0.03391164991562635,10512
54,0.27230329513549806,0.007533006730878859,0.01646595001220703,0.0004972028722925039,1,10,59,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 59}",0.275,0.3375,0.3875,0.3125,0.3375,0.32999999999999996,0.036742346141747664,10754
55,0.26801280975341796,0.006075805120224131,0.01673130989074707,0.0005364272094436948,1,10,60,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 60}",0.275,0.3375,0.3875,0.3125,0.3375,0.32999999999999996,0.036742346141747664,10754
56,0.2789142608642578,0.006501453343784065,0.01861915588378906,0.0009611156611775059,1,10,61,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 61}",0.275,0.35,0.375,0.3125,0.35,0.3325,0.03499999999999999,10645
57,0.28122625350952146,0.01186912335772684,0.017677879333496092,0.0012762864643538756,1,10,62,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 62}",0.2875,0.3375,0.3625,0.3125,0.35,0.32999999999999996,0.02692582403567252,10754
58,0.28720746040344236,0.007374827358033902,0.01810140609741211,0.0015123140495996344,1,10,63,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 63}",0.2875,0.3375,0.3625,0.3125,0.3625,0.3325,0.029154759474226508,10645
59,0.2904245853424072,0.005950350368517816,0.01787400245666504,0.0005449274515040539,1,10,64,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 64}",0.2875,0.3375,0.375,0.3125,0.3625,0.335,0.03201562118716425,10574
60,0.30080013275146483,0.01081890992970035,0.018187952041625977,0.000891483526257132,1,10,65,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 65}",0.275,0.3375,0.3875,0.3125,0.3875,0.33999999999999997,0.04358898943540673,10512
61,0.3031792163848877,0.011936955358705967,0.018556880950927734,0.0011376268495971052,1,10,66,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 66}",0.275,0.3375,0.3875,0.3,0.3875,0.3375,0.04541475531146238,10526
62,0.3092339515686035,0.005162436481780319,0.018252801895141602,0.0004490888303401004,1,10,67,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 67}",0.275,0.35,0.4,0.3,0.4,0.34500000000000003,0.050990195135927854,10434
63,0.3142229080200195,0.0035170147087481575,0.019829988479614258,0.0005262365674739808,1,10,68,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 68}",0.275,0.3375,0.3875,0.3,0.3875,0.3375,0.04541475531146238,10526
64,0.30904445648193357,0.009864652618443184,0.01888866424560547,0.0005145356733469292,1,10,69,"{'max_depth': 1, 'max_features': 10, 'n_estimators': 69}",0.275,0.3375,0.3875,0.3125,0.3875,0.33999999999999997,0.04358898943540673,10512
